ID,Porter,Snow,Lancaster
1309,doe not like the way the phone work . It is to difficult compar to hi last phone .,doe not like the way the phone work . it is to difficult compar to his last phone .,doe not lik the way the phon work . it is to difficult comp to his last phon .
3556,want to know the nearest store locat . want to buy adit accessori .,want to know the nearest store locat . want to buy adit accessori .,want to know the nearest stor loc . want to buy adit access .
2230,want to know how to do text messag . refer him to websit .,want to know how to do text messag . refer him to websit .,want to know how to do text mess . refer him to websit .
2312,ask how to disabl call wait . refer him to web site .,ask how to disabl call wait . refer him to web site .,ask how to dis cal wait . refer him to web sit .
3327,need help learn how to use the phone . I suggest he go back to the store and have the rep teach him .,need help learn how to use the phone . i suggest he go back to the store and have the rep teach him .,nee help learn how to us the phon . i suggest he go back to the stor and hav the rep teach him .
1480,call about new plan . might switch soon . want more minut .,call about new plan . might switch soon . want more minut .,cal about new plan . might switch soon . want mor minut .
3789,want to know the nearest store locat . want to buy addit access-ori .,want to know the nearest store locat . want to buy addit access-ori .,want to know the nearest stor loc . want to buy addit access-ory .
1060,said hi batteri never ha work well . want a new phone asap .,said his batteri never has work well . want a new phone asap .,said his battery nev has work wel . want a new phon asap .
1854,He claim that the charger never realli work veri well . As a result the phone wa alway die on him . He could not wait to get out of hi current contract .,he claim that the charger never realli work veri well . as a result the phone was alway die on him . he could not wait to get out of his current contract .,he claim that the charg nev real work very wel . as a result the phon was alway dying on him . he could not wait to get out of his cur contract .
1745,want to know the nearest store locat . want to buy addit accessori .,want to know the nearest store locat . want to buy addit accessori .,want to know the nearest stor loc . want to buy addit access .
841,said hi batteri never ha work well . want a new phone asap .,said his batteri never has work well . want a new phone asap .,said his battery nev has work wel . want a new phon asap .
2601,said hi bateri never ha work well . want a new phone asap .,said his bateri never has work well . want a new phone asap .,said his batery nev has work wel . want a new phon asap .
2222,ask about how to chang hi ring tone . refer him to web site .,ask about how to chang his ring tone . refer him to web site .,ask about how to chang his ring ton . refer him to web sit .
1557,need help learn how to use the phone . I suggest he go back to the store and have the rep teach him .,need help learn how to use the phone . i suggest he go back to the store and have the rep teach him .,nee help learn how to us the phon . i suggest he go back to the stor and hav the rep teach him .
2944,lost the direct to phone and want anoth manual . I refer him to web site .,lost the direct to phone and want anoth manual . i refer him to web site .,lost the direct to phon and want anoth man . i refer him to web sit .
2820,ask how to disabl call wait . refer him to web site .,ask how to disabl call wait . refer him to web site .,ask how to dis cal wait . refer him to web sit .
3186,want a new number becaus he keep on get call for a mr. napeleon leroy .,want a new number becaus he keep on get call for a mr. napeleon leroy .,want a new numb becaus he keep on get cal for a mr. napeleon leroy .
3721,He expect significantli better technic support .,he expect signific better technic support .,he expect sign bet techn support .
1802,He ask us to pleas take him off the outbound call list . In addit want to chang rate plan at the end of the year .,he ask us to pleas take him off the outbound call list . in addit want to chang rate plan at the end of the year .,he ask us to pleas tak him off the outbound cal list . in addit want to chang rat plan at the end of the year .
375,want more inform on the famili plan . also ask about how he could use call screen .,want more inform on the famili plan . also ask about how he could use call screen .,want mor inform on the famy plan . also ask about how he could us cal screening .
3264,call about new plan . might switch soon . want more minut .,call about new plan . might switch soon . want more minut .,cal about new plan . might switch soon . want mor minut .
3707,want to know how to do text messag . refer him to web site .,want to know how to do text messag . refer him to web site .,want to know how to do text mess . refer him to web sit .
1064,said hi batteri never ha work well . want a new phone asap .,said his batteri never has work well . want a new phone asap .,said his battery nev has work wel . want a new phon asap .
930,want a new facepl .,want a new facepl .,want a new facepl .
3315,ask about how to chang hi ring tone . refer him to web site .,ask about how to chang his ring tone . refer him to web site .,ask about how to chang his ring ton . refer him to web sit .
2901,want to get an addit line work by the end of the week . forward him on to custom care .,want to get an addit line work by the end of the week . forward him on to custom care .,want to get an addit lin work by the end of the week . forward him on to custom car .
2464,want to know how to do text messag . refer him to web site .,want to know how to do text messag . refer him to web site .,want to know how to do text mess . refer him to web sit .
191,hope to get an additon line work by the end of the week for hi wife .,hope to get an additon line work by the end of the week for his wife .,hop to get an additon lin work by the end of the week for his wif .
1460,want to know how to do text messag . refer him to web site .,want to know how to do text messag . refer him to web site .,want to know how to do text mess . refer him to web sit .
3179,I wish the handset wa bigger . It is uncomfort use the handset for a long time .,i wish the handset was bigger . it is uncomfort use the handset for a long time .,i wish the handset was big . it is uncomfort us the handset for a long tim .
2317,need help learn how to use the phone . I suggest he go back to the store and have the rep teach him .,need help learn how to use the phone . i suggest he go back to the store and have the rep teach him .,nee help learn how to us the phon . i suggest he go back to the stor and hav the rep teach him .
